label,score
1048688,6.672425342
1049194,6.672425342
1050386,6.672425342
1050566,6.672425342
1056042,6.672425342
1057842,6.672425342
1061838,6.672425342
1064096,6.672425342
1064810,6.672425342
107209,6.672425342
1076560,6.672425342
1077926,6.672425342
1102772,6.672425342
1109669,6.672425342
1110704,6.672425342
115420,6.672425342
118709,6.672425342
119548,6.672425342
143655,6.672425342
146629,6.672425342
147879,6.672425342
152731,6.672425342
16548,6.672425342
16592,6.672425342
16625,6.672425342
16662,6.672425342
16695,6.672425342
16737,6.672425342
17018,6.672425342
22208,6.672425342
22653,6.672425342
28661,6.672425342
29634,6.672425342
30156,6.672425342
30845,6.672425342
31024,6.672425342
32.654356,6.672425342
32.65939093,6.672425342
32.65949392,6.672425342
32.65958309,6.672425342
32.6597209,6.672425342
32.65981197,6.672425342
32.65990591,6.672425342
32.66001606,6.672425342
32.66009307,6.672425342
32.66019607,6.672425342
32.66030598,6.672425342
32.66038799,6.672425342
32.66046596,6.672425342
32.66056108,6.672425342
32.66065097,6.672425342
32.66073895,6.672425342
32.66086102,6.672425342
32.66095495,6.672425342
32.66104007,6.672425342
32.66112804,6.672425342
32.66120195,6.672425342
32.6612761,6.672425342
32.66136098,6.672425342
32.66143489,6.672425342
32.66150808,6.672425342
32.66158009,6.672425342
32.66166592,6.672425342
32.66173911,6.672425342
32.66181302,6.672425342
32.66189909,6.672425342
32.661973,6.672425342
32.66205692,6.672425342
32.66214204,6.672425342
32.66221499,6.672425342
32.662287,6.672425342
32.66237211,6.672425342
32.66244507,6.672425342
32.66251898,6.672425342
32.6626029,6.672425342
32.66267705,6.672425342
32.66274905,6.672425342
32.66283607,6.672425342
32.66290903,6.672425342
32.66298103,6.672425342
32.66305399,6.672425342
32.66314101,6.672425342
32.66321301,6.672425342
32.66328597,6.672425342
32.66337204,6.672425342
32.663445,6.672425342
32.663517,6.672425342
32.66360211,6.672425342
32.66367602,6.672425342
32.66376305,6.672425342
32.66384912,6.672425342
32.66392112,6.672425342
32.66399503,6.672425342
32.664083,6.672425342
32.66415501,6.672425342
32.6642251,6.672425342
32.66431189,6.672425342
32.66438293,6.672425342
32.66445589,6.672425342
32.66452694,6.672425342
32.6646111,6.672425342
32.66468501,6.672425342
32.66475701,6.672425342
32.66484499,6.672425342
32.6649189,6.672425342
32.66499209,6.672425342
32.66507792,6.672425342
32.66514993,6.672425342
32.665236,6.672425342
32.66532993,6.672425342
32.66543698,6.672425342
32.66552496,6.672425342
32.6656189,6.672425342
32.66569901,6.672425342
32.66577506,6.672425342
32.66586709,6.672425342
32.66594696,6.672425342
32.66602492,6.672425342
32.66611505,6.672425342
32.66619611,6.672425342
32.66627407,6.672425342
32.66635299,6.672425342
32.66644597,6.672425342
32.66652489,6.672425342
32.66660094,6.672425342
32.66669393,6.672425342
32.6667769,6.672425342
32.66685295,6.672425342
32.66694689,6.672425342
32.667027,6.672425342
32.66710806,6.672425342
32.66724205,6.672425342
32.66746211,6.672425342
32.66757393,6.672425342
32.66768599,6.672425342
32.66777301,6.672425342
32.66785693,6.672425342
32.66795397,6.672425342
33216,6.672425342
37018,6.672425342
37576,6.672425342
38852,6.672425342
4274,6.672425342
43336,6.672425342
43367,6.672425342
43972,6.672425342
44112,6.672425342
47250,6.672425342
47919,6.672425342
50280,6.672425342
51643,6.672425342
54368,6.672425342
58947,6.672425342
597812,6.672425342
601414,6.672425342
601870,6.672425342
632014,6.672425342
63279,6.672425342
65974,6.672425342
666266,6.672425342
67012,6.672425342
70572,6.672425342
72632,6.672425342
74949,6.672425342
75794,6.672425342
85752,6.672425342
88380,6.672425342
91545,6.672425342
91693,6.672425342
925964,6.672425342
929232,6.672425342
930972,6.672425342
931958,6.672425342
93484,6.672425342
942820,6.672425342
948712,6.672425342
954084,6.672425342
957584,6.672425342
960028,6.672425342
960480,6.672425342
969444,6.672425342
97668,6.672425342
97725,6.672425342
982742,6.672425342
992518,6.672425342
994972,6.672425342
愛爾蘭,6.672425342
安心,6.672425342
八角,6.672425342
把關,6.672425342
爸爸,6.672425342
百貨公司,6.672425342
包飯,6.672425342
包廂,6.672425342
薄餅,6.672425342
薄脆,6.672425342
飽滿,6.672425342
北大,6.672425342
北站,6.672425342
本港,6.672425342
本質,6.672425342
避開,6.672425342
變化,6.672425342
並用,6.672425342
補充,6.672425342
不同,6.672425342
步行,6.672425342
材料,6.672425342
採購,6.672425342
菜色,6.672425342
草莓,6.672425342
層次,6.672425342
層麵,6.672425342
暢飲,6.672425342
超高,6.672425342
超過,6.672425342
朝鮮,6.672425342
潮流,6.672425342
沉重,6.672425342
陳年,6.672425342
呈現,6.672425342
持續,6.672425342
寵物,6.672425342
初衷,6.672425342
廚師,6.672425342
創立,6.672425342
創始,6.672425342
垂涎三尺,6.672425342
大餐,6.672425342
大量,6.672425342
大樓,6.672425342
大盤,6.672425342
大蒜,6.672425342
帶來,6.672425342
當作,6.672425342
地下,6.672425342
地下室,6.672425342
地址,6.672425342
低溫,6.672425342
帝王,6.672425342
調和,6.672425342
定位,6.672425342
都市,6.672425342
獨到,6.672425342
獨家,6.672425342
多利,6.672425342
多樣化,6.672425342
多重,6.672425342
惡魔,6.672425342
耳朵,6.672425342
發福,6.672425342
蕃茄,6.672425342
飯店,6.672425342
飯前,6.672425342
方塊,6.672425342
放鬆,6.672425342
費城,6.672425342
費工,6.672425342
費時,6.672425342
氛圍,6.672425342
粉絲,6.672425342
豐富,6.672425342
撫慰,6.672425342
附近,6.672425342
負擔,6.672425342
改變,6.672425342
概念,6.672425342
蓋飯,6.672425342
感官,6.672425342
感覺,6.672425342
感受,6.672425342
橄欖,6.672425342
高檔,6.672425342
高級,6.672425342
高湯,6.672425342
給予,6.672425342
工細,6.672425342
工作,6.672425342
古典,6.672425342
瓜農,6.672425342
瓜子,6.672425342
關係,6.672425342
廣場,6.672425342
貴族,6.672425342
國大,6.672425342
國父,6.672425342
國際,6.672425342
果茶,6.672425342
果汁,6.672425342
還要,6.672425342
海洋,6.672425342
漢中,6.672425342
豪邁,6.672425342
好像,6.672425342
和平,6.672425342
荷蘭,6.672425342
烘烤,6.672425342
轟炸,6.672425342
互動,6.672425342
花生,6.672425342
花生醬,6.672425342
花式,6.672425342
花園,6.672425342
歡迎,6.672425342
回家,6.672425342
回味,6.672425342
活動,6.672425342
活力,6.672425342
火箭,6.672425342
基隆,6.672425342
機場,6.672425342
雞胸,6.672425342
即時,6.672425342
紀念館,6.672425342
家家,6.672425342
家具,6.672425342
家庭式,6.672425342
家鄉,6.672425342
尖峰,6.672425342
建議,6.672425342
江南,6.672425342
焦黑,6.672425342
接近,6.672425342
街巷,6.672425342
結合,6.672425342
竭力,6.672425342
錦州,6.672425342
進口,6.672425342
進一步,6.672425342
經常,6.672425342
經營,6.672425342
竟然,6.672425342
酒店,6.672425342
舉辦,6.672425342
開機,6.672425342
"開,6.6724253419715
開業""",6.672425342
烤箱,6.672425342
科技,6.672425342
科學,6.672425342
客戶,6.672425342
空運,6.672425342
口感,6.672425342
藍色,6.672425342
了解,6.672425342
冷飲,6.672425342
蒞臨,6.672425342
連鎖,6.672425342
涼拌,6.672425342
涼麵,6.672425342
料理台,6.672425342
獵人,6.672425342
龍門,6.672425342
綠茶,6.672425342
螺絲,6.672425342
羅斯福,6.672425342
馬克,6.672425342
馬來西亞,6.672425342
滿意,6.672425342
沒有,6.672425342
梅花,6.672425342
每次,6.672425342
每個,6.672425342
每天,6.672425342
每月,6.672425342
每種,6.672425342
美好,6.672425342
美麗,6.672425342
門市,6.672425342
蜜糖,6.672425342
蜜桃,6.672425342
明蝦,6.672425342
明治,6.672425342
摩洛哥,6.672425342
蘑菇,6.672425342
魔術,6.672425342
奶茶,6.672425342
南美,6.672425342
難得,6.672425342
鳥巢,6.672425342
檸檬汁,6.672425342
牛肝菌,6.672425342
濃郁,6.672425342
挪威,6.672425342
歐姆,6.672425342
帕米爾,6.672425342
泡泡,6.672425342
烹調,6.672425342
品質,6.672425342
平均,6.672425342
平日,6.672425342
平實,6.672425342
蘋果,6.672425342
撲鼻,6.672425342
奇異,6.672425342
汽車,6.672425342
氣氛,6.672425342
愜意,6.672425342
親手,6.672425342
情人,6.672425342
人來人往,6.672425342
忍不住,6.672425342
日出,6.672425342
熔岩,6.672425342
肉丸,6.672425342
肉汁,6.672425342
乳酪,6.672425342
入口,6.672425342
瑞士,6.672425342
三分鐘,6.672425342
三號,6.672425342
三間,6.672425342
鯊魚,6.672425342
扇貝,6.672425342
商業,6.672425342
上班族,6.672425342
設計,6.672425342
設計師,6.672425342
設置,6.672425342
深海,6.672425342
什錦,6.672425342
生菜,6.672425342
生活,6.672425342
盛名,6.672425342
師傅,6.672425342
食堂,6.672425342
時代,6.672425342
世家,6.672425342
市府,6.672425342
市集,6.672425342
飾品,6.672425342
舒服,6.672425342
蔬菜,6.672425342
豎立,6.672425342
雙層,6.672425342
雙味,6.672425342
水波,6.672425342
水牛,6.672425342
四季,6.672425342
素食,6.672425342
酸奶,6.672425342
所有,6.672425342
太陽,6.672425342
態度,6.672425342
提前,6.672425342
體驗,6.672425342
田螺,6.672425342
田納,6.672425342
鐵板,6.672425342
鐵鍋,6.672425342
停車,6.672425342
停車場,6.672425342
團體,6.672425342
推向,6.672425342
王子,6.672425342
往年,6.672425342
網路,6.672425342
位置,6.672425342
味覺,6.672425342
味蕾,6.672425342
溫暖,6.672425342
文化,6.672425342
屋內,6.672425342
梧桐樹,6.672425342
無花果,6.672425342
無時無刻,6.672425342
無線,6.672425342
五年,6.672425342
武昌,6.672425342
物美價廉,6.672425342
希爾頓,6.672425342
細膩,6.672425342
西餐,6.672425342
西門,6.672425342
蝦醬,6.672425342
夏季,6.672425342
限量,6.672425342
香港,6.672425342
香氣,6.672425342
鄉村,6.672425342
想念,6.672425342
消費者,6.672425342
小量,6.672425342
小巷,6.672425342
小小,6.672425342
行動,6.672425342
杏仁,6.672425342
幸福,6.672425342
兄弟,6.672425342
雪花,6.672425342
鴨子,6.672425342
壓力,6.672425342
延吉,6.672425342
研發,6.672425342
眼見,6.672425342
邀請,6.672425342
咬咬,6.672425342
一百五十元,6.672425342
一場,6.672425342
一次,6.672425342
一號,6.672425342
一家,6.672425342
一間,6.672425342
一口,6.672425342
一起,6.672425342
一隻,6.672425342
一種,6.672425342
依據,6.672425342
印度,6.672425342
營養,6.672425342
營業,6.672425342
優雅,6.672425342
優質,6.672425342
油煙,6.672425342
魷魚,6.672425342
玉米,6.672425342
預約,6.672425342
鬱金香,6.672425342
元氣,6.672425342
原裝,6.672425342
園區,6.672425342
月亮,6.672425342
再三,6.672425342
造就,6.672425342
真實,6.672425342
征服,6.672425342
知名,6.672425342
致力,6.672425342
置身,6.672425342
製成,6.672425342
質感,6.672425342
中餐,6.672425342
中東,6.672425342
種類,6.672425342
重慶,6.672425342
主角,6.672425342
主食,6.672425342
主題,6.672425342
轉角,6.672425342
轉運站,6.672425342
準則,6.672425342
滋味,6.672425342
自然,6.672425342
自在,6.672425342
自製,6.672425342
自助餐,6.672425342
最佳,6.672425342
坐落,6.672425342
amba,6.672425342
ampm,6.672425342
ampmpm,6.672425342
amy,6.672425342
angelorestauant,6.672425342
atelier,6.672425342
att,6.672425342
bar,6.672425342
barillaspaghetti,6.672425342
bbq,6.672425342
beata,6.672425342
beatat,6.672425342
bistro,6.672425342
blanc,6.672425342
bmw,6.672425342
bolero,6.672425342
buffet,6.672425342
buonopizza,6.672425342
casablancacafe,6.672425342
chianti,6.672425342
chilisgrillbar,6.672425342
cincin,6.672425342
circle,6.672425342
circlepasta,6.672425342
class,6.672425342
classtext,6.672425342
cp,6.672425342
daddy,6.672425342
dancingpig,6.672425342
dannycompanybistro,6.672425342
dean,6.672425342
dotdot,6.672425342
eataliano,6.672425342
ekitchenbar,6.672425342
firebite,6.672425342
flushingtimesquare,6.672425342
focuskitchen,6.672425342
gordonbiersch,6.672425342
halal,6.672425342
icecafe,6.672425342
irelandspotato,6.672425342
jp,6.672425342
just,6.672425342
justlovecurry,6.672425342
kitchen,6.672425342
lamaison,6.672425342
latelierdepatrick,6.672425342
littlenewyorkpizzeria,6.672425342
machotacos,6.672425342
mot,6.672425342
motkitchen,6.672425342
mountkaosandwichshop,6.672425342
nakedmarket,6.672425342
ncis,6.672425342
nolakitchen,6.672425342
noprime,6.672425342
oldiesburger,6.672425342
omelettogo,6.672425342
owlsbistro,6.672425342
papparich,6.672425342
party,6.672425342
passagecaf,6.672425342
pastabrunch,6.672425342
pickles,6.672425342
pizza,6.672425342
prime,6.672425342
ps,6.672425342
psbubu,6.672425342
quiznos,6.672425342
rhodysbarrestaurant,6.672425342
rollingcaf,6.672425342
rosemary,6.672425342
rul,6.672425342
saizeriya,6.672425342
saladay,6.672425342
saltopizzerianapoletana,6.672425342
sharkbitestoast,6.672425342
sogo,6.672425342
sonomagrill,6.672425342
stancat,6.672425342
subway,6.672425342
ｔｅｌ,6.672425342
thediner,6.672425342
us,6.672425342
11,0
116,0
13,0
15,0
26,0
347,0
